Date,Open,High,Low,Close,Volume,Adj Close
2016-08-18,109.230003,109.599998,109.019997,109.080002,21984700,105.962997
2016-08-17,109.099998,109.370003,108.339996,109.220001,25356000,106.098991
2016-08-16,109.629997,110.230003,109.209999,109.379997,33794400,106.254425
2016-08-15,108.139999,109.540001,108.080002,109.480003,25868200,106.351570
2016-08-12,107.779999,108.440002,107.779999,108.180000,18660400,105.088715
2016-08-11,108.519997,108.930000,107.849998,107.930000,27484500,104.845863
2016-08-10,108.709999,108.900002,107.760002,108.000000,24008500,104.913849
2016-08-09,108.230003,108.940002,108.010002,108.809998,26315200,105.700714
2016-08-08,107.519997,108.370003,107.160004,108.370003,28037200,105.273285
2016-08-05,106.269997,107.650002,106.180000,107.480003,40553400,104.408714
2016-08-04,105.580002,106.000000,105.279999,105.870003,27408700,102.844727
2016-08-03,104.809998,105.839996,104.769997,105.790001,30202600,102.213295
2016-08-02,106.050003,106.070000,104.000000,104.480003,33816600,100.947594
2016-08-01,104.410004,106.150002,104.410004,106.050003,38167900,102.464508
2016-07-29,104.190002,104.550003,103.680000,104.209999,27733700,100.686714
2016-07-28,102.830002,104.449997,102.820000,104.339996,39869800,100.812317
2016-07-27,104.269997,104.349998,102.750000,102.949997,92344800,99.469307
2016-07-26,96.820000,97.970001,96.419998,96.669998,56239800,93.401634
2016-07-25,98.250000,98.839996,96.919998,97.339996,40382900,94.048996
2016-07-22,99.260002,99.300003,98.309998,98.660004,28313700,95.324364
2016-07-21,99.830002,101.000000,99.129997,99.430000,32702000,96.068329
2016-07-20,100.000000,100.459999,99.739998,99.959999,26276000,96.580414
2016-07-19,99.559998,100.000000,99.339996,99.870003,23779900,96.493454
2016-07-18,98.699997,100.129997,98.599998,99.830002,36493900,96.454803
2016-07-15,98.919998,99.300003,98.500000,98.779999,30137000,95.440300
2016-07-14,97.389999,98.989998,97.320000,98.790001,38919000,95.449966
2016-07-13,97.410004,97.669998,96.839996,96.870003,25892200,93.594872
2016-07-12,97.169998,97.699997,97.120003,97.419998,24167500,94.126282
2016-07-11,96.750000,97.650002,96.730003,96.980003,23794900,93.701157
